Date,Close,Volume,Volume2,Open,High,Low
20210325,9400,2645785,25328,9350,9880,9260
20210324,9420,13117113,127044,8850,10100,8710
20210323,8880,987227,9009,9280,9380,8840
20210322,9190,2443183,22594,9110,9460,9000
20210319,8940,563529,5041,8780,9070,8700
20210318,8870,2220175,20104,8750,9380,8630
20210317,8680,846066,7448,8950,9060,8660
20210316,9180,867042,8018,9130,9410,9100
20210315,9150,1137974,10486,9390,9510,9080
20210312,9120,1418707,12708,8790,9140,8600
20210311,8790,1343691,11672,8430,8930,8330
20210310,8560,1514529,13356,8580,9130,8560
20210309,8580,2699450,24261,9170,9530,8540
20210308,9090,13927373,132402,8510,10050,8350
20210305,8420,5519505,48420,9000,9340,8300
20210304,9970,29070153,267483,8100,10100,7930
20210303,7790,2252362,17712,7550,8100,7510
20210302,7540,842183,6418,7180,7880,7160
20210226,7100,553126,3955,6700,7410,6570
20210225,6830,178280,1216,6750,6940,6710
20210224,6650,322737,2217,7130,7150,6500
20210223,7110,204429,1466,7270,7320,7090
20210222,7360,143412,1054,7300,7440,7200
20210219,7300,249917,1828,7500,7560,7190
20210218,7520,254820,1948,7840,7840,7500
20210217,7810,176298,1355,7660,7810,7610
20210216,7660,158311,1218,7710,7800,7650
20210215,7750,196027,1511,7810,7830,7580
20210210,7750,260986,2019,7880,7880,7670
20210209,7800,479285,3798,7650,8190,7650
20210208,7650,635171,4976,8160,8160,7650
20210205,7990,769123,6163,7890,8150,7790
20210204,7830,1982238,16100,7850,8430,7810
20210203,7670,614643,4756,7440,7920,7400
20210202,7370,237619,1765,7480,7650,7260
20210201,7320,260205,1874,7090,7430,6920
20210129,7160,578635,4233,7760,7830,7030
20210128,7660,564181,4390,8000,8000,7600
20210127,8110,1145304,9373,7880,8480,7770
20210126,7940,426111,3417,8120,8180,7900
20210125,8170,530412,4313,8150,8250,8000
20210122,8150,1174586,9647,8430,8530,8110
20210121,8560,4305964,36638,8040,8910,7960
20210120,8000,6289575,53505,8430,8980,8000
20210119,7860,3019953,23984,7890,8400,7450
20210118,7960,733661,6000,8240,8490,7900
20210115,8470,1635727,13754,8320,8660,8050
20210114,8320,1934627,16674,8660,8890,8320
20210113,8800,3716769,31089,7850,8800,7750
20210112,7790,795415,6309,7930,8220,7650
20210111,7910,1426860,11747,8500,8680,7710
20210108,8440,5870514,50886,8250,9070,8160
20210107,8330,8671567,72511,7570,8900,7510
20210106,7550,1718877,13138,7280,8000,7270
20210105,7270,487102,3599,7520,7640,7200
20210104,7460,824916,6248,7700,7800,7370
20201230,7320,894595,6463,7300,7410,7030
20201229,7320,783855,5822,7380,7700,7280
20201228,7460,3280515,26467,8490,8590,7460
20201224,7650,7807368,63293,7520,8650,7510
20201223,7520,1169971,8896,7860,8000,7350
20201222,7950,1999976,16178,7920,8380,7740
20201221,8100,2505338,19939,7820,8280,7630
20201218,7710,6028390,47178,7350,8460,7130
20201217,7250,1296046,9532,7690,7790,7120
20201216,7690,1553737,12070,8210,8250,7530
20201215,8120,6058069,50551,8030,8930,7750
20201214,8070,1016846,8022,7510,8100,7510
20201211,7560,568000,4258,7540,7600,7390
20201210,7540,1082358,8387,8040,8040,7540
20201209,8200,23115149,198988,7940,9170,7730
20201208,7650,11894168,93752,7140,8350,7120
20201207,7070,1484765,10719,7470,7470,7070
20201204,7150,5484124,40000,7150,7730,7060
20201203,7060,17487125,131382,7140,8040,6840
20201202,6650,5376664,32778,5400,6650,5160
20201201,5120,2133624,11082,5040,5390,5000
20201130,4940,599002,2988,4875,5100,4875
20201127,4860,188266,918,4870,4925,4810
20201126,4875,448331,2205,4930,5060,4855
20201125,4990,2697821,13522,4995,5250,4685
20201124,4815,348214,1699,4825,5120,4720
20201123,4800,188678,901,4805,4850,4700
20201120,4805,317295,1524,4900,4940,4750
20201119,4895,263022,1300,4880,5030,4835
20201118,4890,304912,1505,4980,5050,4775
20201117,4975,1012425,5005,4815,5080,4770
20201116,4740,393350,1847,4610,4850,4575
20201113,4605,358536,1665,4775,4830,4585
20201112,4775,816280,3962,4950,5010,4750
20201111,4950,5949749,30153,4995,5490,4760
20201110,4700,247355,1161,4660,4750,4600
20201109,4640,306557,1418,4555,4690,4550
20201106,4565,353242,1620,4705,4705,4510
20201105,4705,448920,2137,4705,4850,4705
20201104,4835,789736,3836,4805,4950,4715
20201103,4805,2551473,12491,4895,5180,4655
20201102,4815,7255593,35784,4555,5280,4415
20201030,4405,551580,2505,4680,4685,4405
20201029,4510,842699,3827,4420,4685,4355
20201028,4590,1083179,4947,4405,4655,4300
20201027,4395,407230,1785,4530,4540,4245
20201026,4600,1956325,8955,4550,4720,4420
20201023,4340,1725470,7717,4235,4860,4235
20201022,4160,378726,1619,4425,4475,4160
20201021,4495,519998,2279,4150,4500,4050
20201020,4130,77335,314,4015,4140,4000
20201019,4075,100720,407,4015,4135,4000
20201016,4100,159215,642,4115,4175,3995
20201015,4170,143394,590,4190,4240,4060
20201014,4220,179976,772,4390,4425,4220
20201013,4385,190359,829,4385,4430,4300
20201012,4380,165668,719,4300,4400,4280
20201008,4285,89841,386,4335,4350,4250
20201007,4285,134132,571,4200,4315,4170
20201006,4210,135696,577,4360,4360,4165
20201005,4290,207833,883,4125,4335,4065
20200929,4040,55296,222,3925,4050,3925
20200928,3925,59814,232,3840,3935,3840
20200925,3845,56266,218,3855,3945,3750
20200924,3830,140833,547,3900,3980,3820
20200923,4050,90429,365,4125,4130,3870
20200922,4050,142077,585,4200,4235,4050
