Date,Close,Volume,Volume2,Open,High,Low
20210325,64500,211585,13472,62300,64500,62100
20210324,62500,90866,5688,62900,63200,62100
20210323,63700,205247,13017,63600,63800,62800
20210322,63300,183734,11531,62000,63800,61300
20210319,62000,158864,9819,62000,62200,61500
20210318,62600,159527,10060,63400,63900,62600
20210317,63600,155151,9781,62800,63700,62600
20210316,62600,192665,12178,63200,63600,62600
20210315,63200,158266,9929,63200,63300,62200
20210312,63200,97025,6101,63000,63400,62500
20210311,62600,191510,12023,62900,63500,62100
20210310,63400,111102,7129,64400,65300,63100
20210309,64300,177649,11366,64500,65000,62700
20210308,63900,101207,6557,66000,66100,63800
20210305,65000,1523463,95318,64900,66200,64100
20210304,65100,216954,14111,63600,65900,63200
20210303,64900,201290,12897,63800,65300,62000
20210302,63800,387688,24907,64700,65000,63200
20210226,64700,224917,14194,63800,64700,62100
20210225,65200,303257,19695,64500,65300,64200
20210224,63500,226703,14671,65800,65900,63500
20210223,65800,272771,17740,64000,66000,62700
20210222,64100,194147,12354,63200,64300,62100
20210219,63200,142857,8928,63000,63500,61100
20210218,63000,224336,14247,61600,64900,61600
20210217,62300,133150,8174,62500,63300,60800
20210216,62500,105522,6603,63600,63600,62200
20210215,63600,115467,7393,64500,65100,63300
20210210,63100,116929,7353,63100,63500,62100
20210209,62700,123004,7774,63200,64000,62500
20210208,63200,160271,10200,62900,64400,62900
20210205,62700,171933,10662,61200,63000,61100
20210204,61100,196103,11945,60900,62300,60000
20210203,59800,125484,7550,60700,61300,59700
20210202,60700,125269,7573,59900,61400,59000
20210201,59600,137379,8082,58100,59800,57300
20210129,58900,293208,17641,61800,63000,58400
20210128,61600,180926,11154,60800,62700,60800
20210127,62900,165736,10578,64500,65500,62900
20210126,63700,229952,14797,66000,66300,63500
20210125,66400,276210,18305,65000,67500,64100
20210122,64100,307811,19909,63700,65800,62500
20210121,63600,178738,11405,63100,64300,63100
20210120,63100,228214,14256,61200,63600,60900
20210119,61100,173165,10584,59900,61900,59900
20210118,59900,230649,13899,61700,62300,59100
20210115,62500,397962,25132,62100,64700,62000
20210114,61800,273566,16800,61300,62400,60600
20210113,60600,405259,24296,59000,60600,58800
20210112,58200,401398,23047,56100,58800,55300
20210111,56100,303904,17092,57100,57700,55100
20210108,57400,276129,15556,55400,57400,55100
20210107,55300,238997,13343,55200,56800,55000
20210106,55200,205356,11372,55300,56300,54700
20210105,55500,191297,10439,54300,55500,53800
20210104,54000,176590,9588,54900,55300,53600
20201230,54900,114014,6265,55000,55500,54400
20201229,54800,104655,5628,53200,54800,52800
20201228,53500,89638,4780,53800,53800,52800
20201224,53800,89924,4847,53500,54500,53300
20201223,53300,114114,6073,53600,54200,52500
20201222,53600,98049,5329,54400,55100,53600
20201221,54800,209416,11400,55200,55400,53700
20201218,55800,126131,6987,55400,55900,55000
20201217,55600,170500,9411,55500,56200,54600
20201216,55900,99888,5619,55600,56900,55500
20201215,55400,173458,9616,56300,56300,54900
20201214,56300,267014,15136,57700,58000,56300
20201211,58400,273003,16090,57700,59800,57400
20201210,57800,499620,29121,57700,59500,56700
20201209,57200,464140,26430,54300,57700,54300
20201208,54200,102898,5560,54200,54500,53600
20201207,53700,130937,6961,53600,53900,52700
20201204,54400,148996,8126,54900,55600,54000
20201203,55300,202430,11097,54100,55900,53600
20201202,54800,194353,10533,53600,54800,53000
20201201,53300,113078,5985,52800,53700,52300
20201130,52600,373262,19570,53100,53300,51200
20201127,52300,259990,13612,53200,53700,51700
20201126,53700,157351,8395,53100,54100,52600
20201125,53600,270348,14683,55500,55900,52700
20201124,55300,306801,17004,55400,56600,54200
20201123,55200,286746,15580,53600,55200,53300
20201120,53800,544612,28930,50500,54000,50500
20201119,50800,143370,7179,50200,51000,49650
20201118,50600,241471,12228,49600,51100,49400
20201117,49500,482518,24222,48400,51200,48400
20201116,48400,182261,8867,49450,49500,48400
20201113,49400,148587,7315,49900,49900,48350
20201112,49900,220980,10970,49500,50300,48650
20201111,49550,270331,13164,47950,49650,47800
20201110,47750,405585,19290,48350,48400,46900
20201109,46800,99799,4670,46550,47100,46300
20201106,46200,81918,3787,46050,46500,45950
20201105,45900,85616,3930,45650,46250,45600
20201104,45500,111648,5122,45550,46650,45300
20201103,45200,102679,4614,43800,45200,43750
20201102,43800,80743,3547,43600,44250,43550
20201030,43550,204079,9086,45600,45700,43550
20201029,45450,117546,5340,45200,45800,44800
20201028,45450,100192,4553,45300,45950,45050
20201027,45800,118143,5417,46000,46500,45350
20201026,46800,126016,5959,47800,48150,46800
20201023,47950,68054,3261,48250,48250,47700
20201022,48000,75105,3615,48300,48350,48000
20201021,48200,71693,3461,48150,48700,48100
20201020,48200,74053,3581,48900,49000,48050
20201019,49050,83112,4096,48650,49650,48550
20201016,48650,100577,4885,48300,49200,48100
20201015,48300,63493,3066,48400,48750,48100
20201014,48650,88616,4338,49300,49800,48600
20201013,49650,69657,3458,50000,50200,49300
20201012,50400,119729,6003,49700,50700,49350
20201008,49150,89413,4401,49200,49600,49050
20201007,48950,60284,2943,49100,49150,48400
20201006,49050,57708,2833,49050,49450,48800
20201005,49300,86091,4223,48300,49450,48200
20200929,48900,74749,3641,48800,49000,48300
20200928,48300,50777,2448,47800,48500,47650
20200925,47250,67978,3223,47900,47900,47150
20200924,47450,102476,4857,47850,47850,47100
20200923,48150,98111,4758,48900,49600,48050
20200922,48800,131329,6476,50200,50200,48750
20200921,50300,77533,3917,50500,51000,50100
20200918,50500,71422,3618,50900,51000,50500
20200917,50900,83591,4231,51100,51300,50300
20200916,51000,210650,10851,51200,52500,50900
20200915,51500,83084,4265,51300,51800,51000
20200914,51800,147572,7588,50500,51900,50400
20200911,50500,83531,4206,50000,50700,50000
20200910,50000,147509,7412,50600,50700,50000
20200909,50300,107877,5455,50600,51100,50300
20200908,51000,111885,5719,51000,51600,50700
20200907,50900,112413,5740,51000,51400,50800
20200904,51200,109176,5577,50900,51400,50800
20200903,52100,88264,4596,52400,52500,51800
20200902,52100,105201,5496,52200,52900,51600
20200901,51500,98344,5074,50900,52100,50800
20200831,51000,194625,10015,52000,52600,51000
20200828,51800,124138,6501,52800,53300,51700
20200827,52700,120121,6321,53800,53900,52300
20200826,53700,109331,5869,55200,55200,53200
20200825,55000,84127,4579,53500,55300,53400
20200824,53200,91097,4841,53500,54200,52100
20200821,53500,121919,6565,53800,55100,52900
20200820,53700,163356,8905,55800,56200,53600
20200819,56500,190757,10784,56400,57700,54900
20200818,56400,266151,15058,58800,58800,55100
20200814,59700,369840,21851,59800,60800,57400
20200813,59000,346918,20472,59500,59800,58100
20200812,58200,307948,17786,56200,58700,56200
20200811,56200,237166,13359,55100,56900,54600
20200810,55100,178930,9861,57400,57400,53900
20200807,55100,290766,16070,53600,56400,53200
20200806,53600,90533,4837,53200,53800,52800
20200805,53200,124725,6611,52100,53900,52100
20200804,52100,68535,3584,51800,52700,51700
20200803,51800,113264,5885,52500,52800,51600
20200731,53300,119041,6369,54100,54500,53200
20200730,54200,130708,7127,53700,55200,53600
20200729,53900,84171,4515,52500,54200,52500
20200728,53100,84062,4483,53600,54000,53000
20200727,53800,68087,3627,53000,53800,52700
20200724,53400,98751,5213,52000,53500,51600
20200723,52300,124447,6541,53400,53600,52200
20200722,53700,112918,6094,54500,55200,53600
20200721,54900,135715,7484,54100,55700,54100
20200720,54100,168182,9104,54900,54900,53700
20200717,54800,115109,6316,55500,55500,54500
20200716,54700,187835,10197,53100,55000,52800
20200715,53300,125662,6720,53600,54000,53000
20200714,53100,135550,7139,51300,53500,51300
20200713,51700,76690,3964,51300,52200,50700
20200710,51000,131518,6749,52600,52600,50900
20200709,52600,160746,8399,52500,52800,51600
20200708,52500,123365,6480,52200,53100,52000
20200707,52200,170979,9006,53700,53700,52100
20200706,53200,138486,7371,53500,53900,52700
20200703,53300,277439,14686,52400,54000,51500
20200702,52000,301438,15594,49650,53400,49600
20200701,49550,328572,16352,50500,50900,49200
20200630,51600,1747806,93100,47350,56800,47200
20200629,47100,126096,5932,47900,47900,46800
20200626,48350,144566,6951,47800,49150,47250
20200625,47600,223557,10769,48950,49350,47550
20200624,49850,94650,4699,49450,49850,49450
20200623,49450,179759,8939,50300,50600,49050
20200622,50000,144578,7296,50700,51600,50000
20200619,51900,145003,7436,51200,51900,50400
20200618,50600,153469,7748,49800,51600,49700
20200617,50500,225445,11387,51600,51800,49750
20200616,52000,143036,7401,51100,52200,51000
20200615,50200,228903,11905,53500,53500,50200
20200612,54100,216869,11559,53300,54300,51800
20200611,56100,236974,13444,57300,58300,56000
20200610,57700,102053,5907,58400,58400,57300
20200609,58000,196369,11446,59400,59800,57600
20200608,59300,179971,10654,60300,60300,58600
20200605,59100,207124,12313,60000,60800,58700
20200604,59000,483918,28794,58100,60900,57800
20200603,57400,247129,14162,57000,57900,56700
20200602,56500,131221,7362,56000,56600,55500
20200601,56300,152064,8529,56100,56400,55500
20200529,57800,246501,13723,54200,57800,53400
20200528,54800,165850,9169,56100,56600,54300
20200527,55500,103973,5768,55400,55900,54600
20200526,55300,113236,6233,54600,55800,54200
20200525,54500,142288,7774,55700,56100,54000
20200522,55400,158179,8840,57700,57800,55100
20200521,57400,140629,8051,57300,57700,56700
20200520,56900,150425,8605,57800,58100,56600
20200519,57800,257532,14670,56100,58100,55300
20200518,54700,77149,4208,55200,55300,54200
20200515,55000,103626,5658,55100,55300,53800
20200514,55000,118322,6459,55300,55400,54100
20200513,55100,116635,6315,53700,55100,53300
20200512,54500,128198,7039,55900,56300,54300
20200511,56000,153839,8707,57500,57600,55900
20200508,57700,144397,8400,57700,58800,57600
20200507,56900,223454,12675,55900,57200,55900
20200506,56400,198918,11262,57000,57300,56300
20200504,56000,255958,14400,56000,57200,55200
20200429,58100,225842,13162,58500,59000,57700
20200428,58300,252601,14899,58200,60500,58100
20200427,58200,121829,7105,58000,58800,57700
20200424,57600,162137,9387,57700,58600,57100
20200423,58500,158849,9325,58400,59400,58300
20200422,58300,168003,9698,58100,58400,56900
20200421,58700,255765,14982,60700,60800,56700
20200420,60600,175765,10837,62000,62800,60300
20200417,62500,232244,14503,61000,63700,61000
20200416,60300,163962,9900,61000,61100,59600
20200414,60700,170399,10346,60700,61200,60000
20200413,60000,204855,12277,61000,61100,58600
20200410,60500,182905,10867,60000,60700,58200
20200409,59900,296511,17757,60900,62200,58300
20200408,59200,485599,27917,54700,59900,54100
20200407,54100,217434,11754,54100,55300,53000
20200406,52800,229118,11973,51700,52800,51600
20200403,51200,204545,10525,52100,52900,50500
20200402,52900,114545,5976,50300,53600,50200
20200401,50600,162390,8617,54100,55400,50100
20200331,55400,158026,8627,54600,55500,53400
20200330,54100,105362,5635,51300,54900,51200
20200327,54000,215580,11668,57000,57100,52600
20200326,53600,224080,12022,52800,55000,51100
20200325,51800,263173,13139,48000,51800,47750
20200324,46950,179382,8210,44450,47050,43950
20200323,43850,177304,7980,47000,47000,43500
20200320,49150,231976,11138,48150,49600,46050
20200319,48000,281988,13813,52300,53600,46250
20200318,51300,280024,14921,51100,55400,50600
20200317,51500,260528,13181,48550,52700,48000
20200316,49950,203610,10501,52900,54600,49700
20200313,52600,328339,16659,49600,53000,48200
20200312,55100,312917,17266,57700,58200,53300
20200311,57700,249719,14753,60600,61400,57200
20200310,61200,173201,10539,60000,61900,59200
20200309,60500,109280,6641,61400,62300,60200
20200306,62800,74056,4643,63200,63800,62100
20200305,64500,223826,14261,63400,65000,62200
20200304,63000,104606,6589,61600,63500,61400
20200303,61600,171409,10783,64400,64700,61500
20200302,63400,164777,10368,62900,64200,61000
20200228,62000,193127,12070,64200,64400,60900
20200227,65100,111545,7276,64700,67100,64600
20200226,65700,267036,17587,66100,66700,64800
20200225,66900,149713,9950,64500,67700,64100
20200224,64600,179160,11663,66100,66500,64200
20200221,67400,126276,8610,67500,69800,67000
20200220,68500,111358,7691,69900,71200,68300
20200219,70500,119896,8457,72300,72600,69600
20200218,71300,96596,6926,72100,73100,70900
20200217,72800,112444,8191,72100,74000,71400
20200214,71800,72838,5224,71000,72500,70600
20200213,71500,208732,15029,72000,73300,70800
