Date,Close,Volume,Volume2,Open,High,Low
20210325,45200,2855427,135805,49500,49600,45200
20210324,51000,4544037,209038,47450,51000,43200
20210323,47300,2412883,114525,48100,48800,45500
20210322,48400,2264013,112021,51000,51000,48050
20210319,51500,2915825,153350,53300,54700,49300
20210318,54300,1629434,87238,53300,54500,52600
20210317,53400,2526325,135162,52300,55400,51800
20210316,52400,1612957,85600,53800,54300,52200
20210315,53200,4269161,226752,51000,55300,50200
20210312,51400,4426737,220412,47200,52500,47050
20210311,47200,1992044,94411,48000,48450,46600
20210310,48500,1893629,93096,49100,50700,47700
20210309,48000,3808621,186451,48650,51900,46400
20210308,49600,2061132,104725,51800,52300,49500
20210305,52000,6328816,322078,49500,53200,47650
20210304,49500,3223062,163166,51300,52500,49100
20210303,53200,4717212,253089,53800,55900,52100
20210302,53000,11063092,581959,53400,55500,49550
20210226,54700,25993091,1547562,56000,66300,53100
20210225,52000,10202645,497446,48200,52000,45650
20210224,40000,11416772,498912,47200,48400,40000
20210223,44700,30183879,1283757,37100,46250,36400
20210222,37100,11314086,439699,39200,41500,36600
20210219,35650,11778958,406916,31500,36800,31000
20210218,31800,3207859,105618,34000,34600,31800
20210217,34600,3643477,127892,35700,36450,34300
20210216,34500,9609576,348903,35200,38150,34500
20210215,35450,14784951,505441,31650,36650,30600
20210210,31650,6414260,202107,30800,32600,30300
20210209,30700,21365998,714335,32300,36500,29000
20210208,32450,23808782,837484,31950,39550,31600
20210205,31050,13672481,428492,30100,32450,29700
20210204,29400,6034075,180019,29000,30700,28850
20210203,30350,25270180,770085,31800,34000,27550
20210202,30400,18675766,515844,23550,30400,23150
20210201,23400,1404089,32223,22850,23800,22150
20210129,22750,2061760,47293,22900,24050,22100
20210128,22450,1781405,40856,22450,24050,22300
20210127,23600,2609208,64133,25400,25750,23550
20210126,26050,12255504,317973,24450,27950,24150
20210125,24100,2250231,53535,23600,24500,23000
20210122,23350,1597186,37594,24300,24350,23200
20210121,24200,3219263,79226,24100,25600,23900
20210120,23950,5836605,143289,23400,26250,22850
20210119,23600,5326671,125128,24200,24600,22300
20210118,23300,3470804,81682,24100,24850,22750
20210115,24600,3290848,82925,24850,26400,24600
20210114,25650,7249207,186442,24500,27450,24000
20210113,25650,3433812,90521,27000,27450,25600
20210112,27800,15995312,470854,28750,31500,27450
20210111,26600,5259042,140562,28100,28300,25200
20210108,29200,2822929,83794,31100,31100,29000
20210107,30500,3745258,112302,29650,31150,28500
20210106,30500,5567997,173659,30650,32950,29550
