Date,Close,Volume,Volume2,Open,High,Low
20210325,2200,3484299,7639,2210,2250,2155
20210324,2225,8682347,19838,2420,2450,2165
20210323,2375,53058221,141340,3020,3330,2220
20210322,3010,16695911,50327,2970,3095,2905
20210319,2855,8419476,24734,2810,3050,2795
20210318,2880,7507474,21985,2975,3080,2800
20210317,2990,11849005,35586,3015,3170,2825
20210316,2925,41007326,124013,2710,3230,2645
20210315,2680,5486541,14886,2890,2890,2605
20210312,2930,2397634,7077,2965,3030,2915
20210311,2915,16271748,49858,2900,3330,2725
20210310,2920,3100126,9460,3200,3235,2920
20210309,3200,4965548,16124,3155,3345,3140
20210308,3125,4888223,15792,3280,3400,3125
20210305,3360,2371323,7946,3400,3420,3300
20210304,3440,10562069,36807,3350,3620,3340
20210303,3400,1937927,6593,3350,3475,3330
20210302,3400,8749606,30857,3445,3680,3375
20210226,3410,2563994,8584,3380,3430,3300
20210225,3460,1833433,6252,3385,3465,3310
20210224,3305,3455761,11959,3575,3610,3305
20210223,3540,13231769,47558,3460,3740,3460
20210222,3505,4002711,13920,3490,3570,3400
20210219,3385,3030245,10356,3460,3515,3345
20210218,3485,16488366,58198,3385,3675,3360
20210217,3395,1792765,6049,3400,3420,3335
20210216,3360,3487521,11928,3440,3500,3345
20210215,3420,10105918,34649,3265,3535,3230
20210210,3280,4326446,14085,3200,3370,3165
20210209,3175,4005025,12909,3340,3365,3130
20210208,3320,3585243,12168,3400,3480,3300
20210205,3400,8833269,31476,3660,3710,3400
20210204,3750,36269918,132498,3490,3835,3450
20210203,3465,11705932,40197,3365,3555,3315
20210202,3380,4873227,16481,3395,3465,3310
20210201,3430,15818418,55164,3385,3625,3330
20210129,3560,51260058,175832,3105,3695,3060
20210128,3125,36154839,122590,3070,3745,2950
20210127,3145,3515700,11470,3295,3375,3140
20210126,3215,1613886,5196,3235,3275,3185
20210125,3205,2588016,8396,3180,3315,3155
20210122,3195,7202444,23498,3205,3415,3130
20210121,3250,2754059,9009,3250,3325,3230
20210120,3285,4858139,15781,3245,3325,3180
20210119,3300,58092362,205976,3235,3790,3205
20210118,3250,6451067,21331,3230,3500,3135
20210115,3305,10555286,35128,3205,3505,3065
20210114,3150,2986874,9544,3300,3340,3065
20210113,3335,4720333,15882,3370,3490,3200
20210112,3430,6319047,21030,3210,3430,3195
20210111,3265,3067709,9805,3275,3290,3015
20210108,3245,3354881,10881,3300,3330,3155
20210107,3295,10300975,33968,3200,3430,3160
20210106,3200,10270458,33128,3165,3465,3080
20210105,3070,2520915,7652,3035,3095,2995
20210104,3030,6842373,21248,3120,3275,2935
20201230,2995,5209542,15351,2895,3045,2855
20201229,2995,5650601,17064,3100,3115,2915
20201228,3245,13896089,43950,3205,3275,3040
20201224,3195,91777920,311659,2945,3655,2920
20201223,3000,22001373,67118,3145,3400,2850
20201222,3185,118177078,357412,2845,3350,2670
20201221,2665,36655586,95245,2400,2665,2385
20201218,2050,1483763,3043,2010,2105,2000
20201217,2000,931207,1878,2055,2055,1995
20201216,2060,1207424,2443,2040,2065,2000
20201215,2035,687188,1398,2030,2065,2020
20201214,2030,1616585,3329,2110,2125,2025
20201211,2125,2303562,4902,2090,2170,2065
20201210,2075,7478474,16086,2110,2265,2050
20201209,2110,1113753,2311,2050,2120,2035
20201208,2050,2506804,5223,2000,2145,1995
20201207,2010,960314,1928,2025,2075,1990
20201204,2030,1349214,2755,2120,2135,2005
20201203,2100,1832388,3781,2055,2135,2015
20201202,2060,1568796,3248,2100,2110,2030
20201201,2100,1263165,2653,2130,2150,2060
20201130,2150,1025384,2187,2145,2165,2110
20201127,2140,2137006,4622,2150,2235,2105
20201126,2100,1140976,2418,2100,2160,2060
20201125,2100,1766492,3712,2145,2160,2040
20201124,2145,1505236,3220,2100,2180,2070
20201123,2130,1853920,3993,2225,2225,2110
20201120,2225,1818721,4040,2240,2260,2180
20201119,2240,2553060,5573,2155,2250,2120
20201118,2180,1808170,3975,2200,2245,2170
20201117,2205,3658506,7955,2165,2220,2110
20201116,2185,3603215,7864,2215,2235,2140
20201113,2215,4342227,9690,2300,2310,2180
20201112,2320,4153316,9837,2440,2485,2290
20201111,2450,5506303,13534,2550,2595,2330
20201110,2575,6707270,17019,2475,2620,2445
20201109,2480,3147078,7797,2510,2530,2435
20201106,2490,7977406,20246,2570,2640,2455
20201105,2510,19878970,50746,2435,2675,2400
20201104,2435,5676101,13548,2385,2460,2330
20201103,2375,27072866,67918,2405,2670,2305
20201102,2440,17551766,42155,2380,2490,2300
20201030,2415,69394307,165263,2025,2570,2010
20201029,2040,5795441,11594,1925,2070,1900
20201028,1995,12556757,25138,1910,2080,1895
20201027,1910,25253829,51764,1910,2165,1890
20201026,1935,3129646,5969,1915,1990,1815
20201023,1930,3246833,6323,1960,2000,1895
20201022,1905,2798021,5427,2000,2010,1890
20201021,2000,6356814,12513,1930,2035,1865
20201020,1960,5166255,9604,1940,1965,1745
20201019,1985,4794895,9661,2060,2085,1980
20201016,2040,8883015,17657,1950,2070,1920
20201015,1960,7577939,14760,1900,2000,1875
20201014,1920,8690626,16913,1940,2010,1855
20201013,1930,8960136,17290,1980,2005,1870
20201012,1970,82864936,168759,1830,2265,1805
20201008,1830,97033322,179803,1700,2000,1670
20201007,1560,35094974,51013,1200,1560,1195
20201006,1200,240205,288,1205,1215,1185
20201005,1205,277602,329,1165,1205,1165
20200929,1160,582913,681,1145,1190,1125
20200928,1130,399096,449,1110,1140,1110
20200925,1110,748952,841,1135,1155,1095
20200924,1125,731125,837,1165,1180,1120
20200923,1185,836504,990,1205,1220,1160
20200922,1205,1263885,1537,1240,1250,1200
20200921,1265,4810567,6200,1230,1365,1220
20200918,1230,353732,432,1220,1245,1200
20200917,1220,321617,392,1235,1235,1210
20200916,1235,330744,409,1245,1245,1225
20200915,1235,380887,468,1235,1245,1220
20200914,1230,483760,590,1200,1240,1200
20200911,1200,715323,854,1205,1220,1175
20200910,1205,690131,837,1220,1235,1195
20200909,1230,407981,497,1210,1235,1205
20200908,1235,220415,273,1245,1260,1225
20200907,1245,514329,641,1230,1265,1225
20200904,1235,652036,791,1200,1245,1190
20200903,1240,868880,1068,1205,1255,1200
20200902,1205,295919,358,1210,1225,1200
20200901,1205,432559,519,1175,1215,1175
20200831,1180,612798,729,1185,1205,1170
20200828,1185,244093,289,1195,1195,1170
20200827,1180,522388,615,1160,1210,1155
20200826,1160,203424,236,1160,1175,1145
20200825,1165,289577,335,1135,1170,1135
20200824,1140,289501,325,1115,1140,1100
20200821,1135,425033,480,1130,1150,1100
20200820,1130,921060,1053,1180,1200,1110
20200819,1195,452449,542,1185,1215,1180
20200818,1175,1230986,1516,1280,1290,1170
20200814,1300,886391,1135,1300,1300,1245
20200813,1295,607903,789,1310,1310,1285
20200812,1300,810572,1046,1315,1315,1275
20200811,1315,1539146,2053,1360,1360,1315
20200810,1350,2440448,3285,1325,1370,1320
20200807,1310,1218260,1604,1310,1335,1300
20200806,1305,767149,992,1290,1310,1275
20200805,1285,790501,1031,1330,1330,1285
20200804,1320,1503098,1966,1280,1330,1270
20200803,1280,608812,781,1300,1305,1275
20200731,1295,1414229,1851,1300,1345,1280
20200730,1295,563078,731,1305,1320,1285
20200729,1285,461351,597,1290,1315,1280
20200728,1295,277338,361,1320,1320,1290
20200727,1310,418005,542,1275,1310,1265
20200724,1275,461320,592,1300,1310,1260
20200723,1300,713579,931,1295,1330,1285
20200722,1305,509336,661,1275,1315,1275
20200721,1280,1130198,1461,1310,1325,1270
20200720,1315,593403,778,1315,1325,1295
20200717,1325,848607,1125,1335,1350,1295
20200716,1340,1750282,2344,1325,1370,1300
20200715,1325,1193306,1586,1325,1355,1305
20200714,1325,1412275,1864,1335,1345,1290
20200713,1340,1883163,2459,1285,1345,1245
20200710,1285,5038237,6581,1335,1360,1260
20200709,1235,379300,467,1225,1245,1215
20200708,1225,306401,375,1230,1235,1215
20200707,1210,535362,658,1240,1245,1210
20200706,1225,425937,520,1205,1245,1200
20200703,1205,293866,351,1205,1210,1180
20200702,1195,553929,663,1170,1230,1170
20200701,1170,332742,393,1200,1210,1160
20200630,1200,240583,285,1175,1200,1170
20200629,1170,514661,601,1170,1185,1150
20200626,1200,386513,463,1210,1225,1175
20200625,1205,459756,556,1215,1230,1195
20200624,1240,399924,497,1235,1255,1230
20200623,1230,559130,696,1270,1280,1225
20200622,1265,456464,581,1290,1310,1250
20200619,1295,754582,962,1255,1305,1240
20200618,1265,315701,399,1265,1290,1250
20200617,1265,553924,700,1260,1300,1240
20200616,1280,673055,848,1235,1290,1235
20200615,1220,705442,890,1280,1315,1210
20200612,1300,1140872,1438,1220,1300,1215
20200611,1325,515333,690,1355,1360,1325
20200610,1355,570167,768,1340,1370,1330
20200609,1350,635290,863,1365,1390,1340
20200608,1375,803921,1109,1410,1415,1365
20200605,1400,1682430,2370,1395,1430,1380
20200604,1385,737017,1018,1380,1400,1365
20200603,1380,859479,1186,1395,1405,1365
20200602,1385,724767,1002,1385,1410,1360
20200601,1385,911721,1249,1325,1390,1325
20200529,1325,894366,1195,1355,1365,1300
20200528,1345,1786654,2434,1415,1415,1315
20200527,1405,1415169,2007,1420,1440,1395
20200526,1420,1971009,2800,1430,1445,1390
20200525,1435,4027236,5756,1390,1455,1390
20200522,1390,10944030,15642,1420,1470,1355
20200521,1360,2940921,4052,1380,1385,1345
20200520,1390,9575969,13400,1325,1440,1325
20200519,1315,613191,806,1325,1330,1305
20200518,1300,541966,707,1330,1335,1295
20200515,1325,510790,666,1310,1325,1280
20200514,1305,838507,1097,1300,1330,1295
20200513,1320,506198,670,1335,1340,1305
20200512,1335,1030813,1366,1350,1355,1285
20200511,1350,1427336,1955,1410,1415,1340
20200508,1375,2549255,3497,1365,1390,1345
20200507,1355,2140743,2934,1380,1400,1350
20200506,1365,2275128,3092,1380,1380,1340
20200504,1360,2271480,3031,1305,1390,1280
20200429,1300,1735151,2277,1320,1335,1295
20200428,1305,1643757,2112,1270,1325,1245
20200427,1265,1213020,1557,1275,1310,1265
20200424,1265,1741936,2247,1315,1325,1250
20200423,1315,4208961,5571,1320,1355,1295
20200422,1355,11340802,14924,1250,1385,1220
20200421,1260,4907579,6061,1225,1290,1170
20200420,1230,21222775,28822,1370,1440,1230
20200417,1165,2035881,2413,1130,1170,1125
20200416,1130,983055,1071,1085,1130,1050
20200414,1140,1362325,1541,1100,1145,1085
20200413,1090,1057353,1138,1095,1100,1060
20200410,1100,1066426,1167,1130,1140,1055
20200409,1125,1410447,1585,1130,1150,1105
20200408,1115,930077,1025,1115,1140,1080
20200407,1115,1302843,1435,1110,1130,1080
20200406,1105,938401,1019,1055,1110,1050
20200403,1060,1407461,1502,1075,1135,1035
20200402,1040,1115212,1115,992,1050,972
20200401,1000,1197941,1240,1035,1080,997
20200331,1040,1754884,1844,1025,1105,1005
20200330,1005,2207704,2163,900,1045,879
20200327,926,1328235,1229,950,953,874
20200326,914,1421047,1282,865,937,845
20200325,860,1600611,1365,840,870,833
20200324,810,1619806,1269,745,816,734
20200323,720,1218718,894,740,770,715
20200320,797,1951311,1477,730,799,727
20200319,730,3139523,2641,974,986,700
20200318,950,1764542,1756,1030,1045,950
20200317,1010,2431335,2456,965,1065,965
20200316,1050,3997953,4285,1030,1130,999
20200313,1015,2442302,2489,1040,1075,951
20200312,1155,1594284,1827,1180,1210,1105
20200311,1205,1516427,1861,1275,1290,1180
20200310,1265,1455881,1822,1230,1295,1210
20200309,1260,2558820,3269,1320,1320,1250
20200306,1345,1566309,2118,1385,1395,1325
20200305,1395,1782964,2489,1385,1420,1380
20200304,1380,2087708,2874,1350,1405,1345
20200303,1360,1960822,2670,1380,1385,1350
20200302,1350,7350281,10270,1425,1475,1335
20200228,1325,1594293,2116,1310,1370,1295
20200227,1330,1052830,1426,1385,1400,1330
20200226,1385,893388,1241,1365,1415,1360
20200225,1395,1742565,2381,1315,1410,1315
20200224,1335,1694648,2324,1370,1405,1335
20200221,1405,1920663,2705,1390,1440,1380
20200220,1425,1694357,2421,1440,1455,1410
20200219,1450,2259887,3311,1490,1510,1430
20200218,1480,4126364,6160,1485,1525,1470
20200217,1470,1608805,2374,1455,1495,1450
20200214,1485,1918472,2810,1450,1490,1430
20200213,1445,2369375,3473,1480,1495,1435
20200212,1485,2011452,2917,1450,1485,1425
20200211,1465,3250180,4792,1450,1510,1440
20200210,1450,2479721,3651,1505,1510,1450
20200207,1515,3525213,5204,1475,1515,1430
20200206,1485,4120033,6107,1490,1520,1445
20200205,1455,3789160,5615,1505,1520,1450
20200204,1485,4289193,6231,1445,1485,1420
20200203,1435,8205482,11873,1450,1495,1405
20200131,1370,6181017,8659,1400,1455,1350
20200130,1410,4263186,6281,1510,1525,1410
20200129,1475,12493775,18840,1465,1590,1450
20200128,1485,6337535,9337,1445,1520,1415
20200123,1495,3384410,5105,1540,1545,1485
20200122,1555,8568704,13038,1485,1560,1475
20200121,1545,11684860,18437,1655,1665,1530
20200120,1675,21078474,35740,1630,1815,1620
20200117,1810,38110050,68923,1875,1920,1750
20200116,1805,112623571,201999,1545,1965,1525
20200115,1515,45051548,73574,1585,1710,1510
20200114,1445,58946368,87299,1315,1585,1295
20200113,1310,1535629,2002,1310,1320,1290
20200110,1300,1554060,2007,1275,1310,1265
20200109,1275,1200108,1519,1260,1290,1250
20200108,1235,1779128,2249,1310,1310,1225
20200107,1315,2092781,2746,1285,1330,1280
20200106,1280,1526235,1966,1305,1305,1265
20200103,1305,6582589,8736,1320,1355,1290
20200102,1300,2640933,3406,1280,1305,1260
20191230,1270,907218,1144,1255,1275,1245
20191227,1265,1043362,1315,1235,1280,1235
20191226,1245,928856,1159,1235,1260,1230
20191224,1235,1670187,2088,1245,1275,1235
20191223,1265,1969258,2488,1255,1280,1240
20191220,1250,2074394,2624,1265,1285,1250
20191219,1260,8725146,10847,1315,1320,1245
20191218,1315,10948597,14418,1375,1410,1300
20191217,1390,5453562,7654,1440,1445,1370
20191216,1420,33100247,47819,1210,1535,1210
20191213,1200,274735,328,1180,1205,1180
20191212,1180,106495,126,1185,1190,1175
20191211,1185,141616,167,1190,1195,1175
20191210,1190,211496,251,1205,1205,1180
20191209,1205,153298,183,1190,1205,1185
20191206,1200,206344,245,1185,1205,1180
20191205,1195,248206,294,1200,1200,1175
20191204,1200,184281,220,1215,1215,1185
20191203,1220,123521,150,1195,1220,1195
20191202,1210,111362,136,1235,1240,1210
20191129,1240,153987,191,1255,1260,1230
20191128,1260,708853,899,1250,1290,1240
20191127,1250,408860,510,1250,1270,1235
20191126,1255,513387,632,1200,1260,1190
20191125,1200,92931,111,1200,1210,1190
20191122,1200,214689,254,1180,1200,1165
20191121,1180,255377,303,1205,1215,1180
20191120,1205,374930,462,1230,1255,1200
20191119,1230,376631,457,1200,1240,1185
20191118,1200,400636,483,1240,1240,1185
20191115,1230,130147,160,1230,1245,1220
20191114,1230,209036,256,1240,1240,1210
20191113,1250,1564530,2015,1265,1375,1230
20191112,1255,400836,507,1260,1285,1245
20191111,1260,1798583,2308,1235,1320,1225
20191108,1245,133791,165,1245,1250,1220
20191107,1245,55169,68,1240,1245,1225
20191106,1240,78400,97,1240,1245,1225
20191105,1240,68266,85,1255,1260,1235
20191104,1250,52350,65,1235,1255,1230
20191101,1235,205592,251,1210,1245,1200
20191031,1210,357179,430,1215,1215,1195
20191030,1215,158853,192,1220,1230,1195
20191029,1220,156692,189,1215,1220,1195
20191028,1215,164438,199,1240,1240,1200
20191025,1240,173756,213,1215,1245,1205
20191024,1215,229329,274,1210,1220,1180
20191023,1220,233806,280,1215,1220,1180
20191022,1220,230455,279,1210,1230,1195
20191021,1220,87744,107,1225,1250,1210
20191018,1225,134976,167,1260,1265,1215
20191017,1225,209245,253,1220,1225,1190
20191016,1225,130152,157,1210,1225,1190
20191015,1225,61275,74,1205,1225,1205
20191014,1215,40601,49,1220,1220,1205
20191011,1215,197048,237,1220,1225,1190
20191010,1230,44338,54,1225,1245,1215
20191008,1240,58798,73,1225,1255,1205
20191007,1225,76868,93,1230,1230,1205
20191004,1230,29279,36,1235,1235,1215
20191002,1235,24439,30,1230,1250,1225
20191001,1230,89436,110,1235,1240,1220
20190930,1240,60218,74,1245,1250,1220
20190927,1260,67959,84,1235,1260,1220
20190926,1245,61077,76,1240,1250,1230
20190925,1240,74047,92,1250,1255,1220
20190924,1250,116415,146,1240,1265,1235
20190923,1250,54147,68,1245,1265,1240
20190920,1255,79774,100,1260,1265,1245
20190919,1260,90907,114,1275,1275,1245
20190918,1270,107753,136,1275,1275,1250
20190917,1270,102289,129,1260,1275,1245
20190916,1260,111838,141,1265,1270,1245
20190911,1260,142131,178,1250,1265,1240
20190910,1250,53871,67,1250,1255,1235
20190909,1250,98222,122,1260,1260,1220
20190906,1265,63019,79,1260,1265,1245
20190905,1255,60034,76,1260,1275,1250
20190904,1255,56561,71,1255,1255,1240
20190903,1250,68104,85,1250,1250,1235
20190902,1245,59530,74,1240,1245,1225
20190830,1240,44317,55,1240,1240,1215
20190829,1225,131794,161,1230,1260,1200
20190828,1235,67666,84,1250,1270,1225
20190827,1240,136178,169,1235,1265,1220
20190826,1225,119444,145,1235,1240,1195
20190823,1245,239449,297,1210,1270,1205
20190822,1210,367068,454,1265,1275,1210
20190821,1265,133278,167,1275,1275,1240
20190820,1260,207756,262,1275,1285,1250
20190819,1275,235177,303,1290,1320,1270
20190816,1290,302420,379,1275,1290,1230
20190814,1290,825423,1059,1270,1330,1245
20190813,1260,392378,492,1215,1275,1215
20190812,1225,105144,129,1235,1240,1215
20190809,1225,242213,294,1175,1240,1175
20190808,1175,472503,550,1170,1190,1150
