Date,Close,Volume,Volume2,Open,High,Low
20210325,40200,252403,10129,40500,40750,39950
20210324,40650,163506,6650,40800,41150,40050
20210323,40800,352902,14438,40800,41950,40100
20210322,40350,360941,14662,42000,42000,40150
20210319,41800,758775,31898,42800,42800,39900
20210318,44050,215367,9508,44000,44650,43700
20210317,43200,216988,9409,43800,44200,42600
20210316,43750,234561,10122,42350,44000,42150
20210315,41900,139678,5903,42200,43100,41800
20210312,42700,245904,10471,42000,42900,41900
20210311,41550,272422,11119,38800,41550,38800
20210310,38900,172154,6842,40750,40900,38900
20210309,39550,287610,11273,40150,40500,38450
20210308,40150,501436,20687,41250,42350,40000
20210305,39950,532762,21405,41100,41450,39850
20210304,42200,180302,7624,42750,43050,41850
20210303,43450,233478,10143,42600,44400,42500
20210302,43000,271144,11847,43500,44650,42450
20210226,42450,468829,19883,42450,43200,41700
20210225,44700,210946,9410,44250,45100,43550
20210224,43100,312823,13818,45350,45550,42900
20210223,45050,315002,14333,46000,46700,44800
20210222,46750,163097,7716,48050,48300,46650
20210219,47750,263746,12518,46700,48600,45800
20210218,46650,237341,11326,48600,49300,46650
20210217,48650,238226,11587,49500,49500,48050
20210216,49700,282072,13984,49800,50400,48850
20210215,49650,702228,34323,47150,50200,46800
20210210,46400,141927,6515,45700,46500,45200
20210209,45650,135198,6241,46600,46750,45650
20210208,46150,250949,11718,47350,47500,46100
20210205,47350,213220,10025,47500,47500,46450
20210204,47350,288069,13462,46650,47650,45600
20210203,46450,354254,16502,47950,47950,45900
20210202,47300,298050,14161,48000,48350,46500
20210201,47300,397101,18533,45400,47750,44450
20210129,45600,532432,24487,47850,48300,44250
20210128,47150,750978,35989,47500,49350,46600
20210127,48750,775495,38528,51800,51800,48450
20210126,52100,657998,33870,51900,52500,50600
20210125,52500,1751516,88694,48050,53200,47700
20210122,46600,1769693,85588,49000,51200,46500
20210121,48200,670592,31888,44200,48200,43550
20210120,43850,341697,15061,43800,44700,43450
20210119,43250,222334,9573,42400,43850,41800
20210118,42400,305297,13130,43800,44050,42200
20210115,44100,345533,15485,44300,45450,44050
20210114,44000,184441,8112,44250,44550,43750
20210113,44500,166511,7354,44800,44800,43850
20210112,44300,279395,12355,43800,45150,43300
20210111,44400,575626,25683,45850,45900,43150
20210108,45050,467637,20970,45300,45600,44550
20210107,44850,449412,20318,45650,45950,44800
20210106,45650,399511,18395,47150,47450,45400
20210105,47050,361929,17006,47200,48750,46150
20210104,47950,316153,15078,48000,48550,47050
20201230,47650,543379,25621,45500,48250,45100
20201229,45450,350307,15873,45000,46000,44400
20201228,44650,363932,16123,44500,44800,44000
20201224,44300,260722,11610,44000,45500,43750
20201223,43950,233410,10183,43750,44300,42850
20201222,43600,306717,13561,45000,45500,43400
20201221,45000,230784,10411,45500,45950,44450
20201218,45950,224819,10419,46850,47450,45750
20201217,46900,295607,13822,46450,47550,45850
20201216,46400,381633,17571,46000,46950,45100
20201215,46050,765793,34867,43650,46550,43650
20201214,43950,299678,13124,42950,44550,42300
20201211,43300,288867,12489,44250,44450,42700
20201210,44200,245568,10770,43500,44400,43300
20201209,44050,456447,20083,44050,44800,43050
20201208,43600,940057,41341,42300,44950,42000
20201207,42300,346153,14531,42550,42600,41150
20201204,41850,302436,12395,40400,41950,39900
20201203,39900,173603,6973,40800,41000,39800
20201202,40650,264195,10735,40400,41200,40050
20201201,39750,298172,11849,40450,40750,39250
20201130,40400,267339,10852,41300,41500,40350
20201127,41100,176949,7272,40950,41750,40700
20201126,41050,164721,6731,40750,41500,40100
20201125,40750,409770,16900,42500,42550,40550
20201124,42200,195115,8296,42700,43050,42200
20201123,42500,247343,10521,42150,43050,41600
20201120,42000,264444,11122,41400,42600,41050
20201119,41350,309494,12678,41250,41750,40400
20201118,41250,693213,29123,42600,43200,41150
20201117,41200,857622,35970,43500,43750,40700
20201116,44600,518741,22885,42450,45100,41850
20201113,41900,183754,7544,41000,41900,40400
20201112,41550,194069,8110,40900,42500,40900
20201111,40900,292002,11963,41950,42000,40450
20201110,42300,334080,14109,43200,43450,41550
20201109,43650,281590,12397,43300,44700,42900
20201106,43250,222521,9617,43350,44100,42350
20201105,43350,393905,16887,42050,43700,41400
20201104,42100,545986,22559,40100,42800,38950
20201103,39500,201681,7965,39200,40100,38400
20201102,38950,158696,6181,38800,39800,37700
20201030,38800,384138,15151,39500,41000,38200
20201029,39350,386970,14887,36450,39700,36400
20201028,37550,268779,9977,35950,37850,35700
20201027,35950,322342,11381,34400,36150,34300
20201026,34400,209055,7252,35700,35700,34100
20201023,35800,188667,6675,36000,36100,34900
20201022,35950,286580,10182,36200,36400,34700
