Date,Close,Volume,Volume2,Open,High,Low
20210325,34750,150143,5307,35950,36450,34750
20210324,36100,166729,5996,35500,36700,34950
20210323,35500,349089,12778,37000,38450,35150
20210322,37550,314433,12013,39250,39800,37250
20210319,38600,346276,13521,39700,40500,38200
20210318,40950,1691264,68181,35800,44850,35800
20210317,35400,189500,6627,35050,36100,33900
20210316,34550,242114,8566,36950,37100,34350
20210315,36700,859388,32556,36350,39900,35100
20210312,35400,1368024,49425,32000,39300,31800
20210311,31350,141725,4350,29750,32150,29050
20210310,29450,181230,5385,30850,31250,28950
20210309,30750,318070,9643,32650,32750,29300
20210308,32400,223815,7579,34700,35300,31950
20210305,34600,441039,15020,31950,36000,31300
20210304,32200,155559,4937,30850,32750,30850
20210303,31150,136988,4309,30500,32300,30250
20210302,31000,371314,11754,30700,32950,30500
20210226,29800,313823,9409,29900,31100,29000
20210225,32300,568511,17840,31150,32950,29500
20210224,30150,822543,27045,34450,36550,29500
20210223,34250,3315783,120851,32150,42000,31750
20210222,34250,1214489,39358,32500,34250,29900
20210219,26350,2545306,66221,21150,27300,21150
20210218,21000,295638,6483,21400,22950,20750
20210217,21200,533944,11212,19800,22200,19350
20210216,18700,67642,1268,19200,19400,18400
20210215,19300,47353,914,18900,19600,18900
20210210,18850,41710,781,18800,19150,18500
20210209,18750,147791,2826,18400,19750,18400
20210208,18350,65600,1189,17800,18400,17800
20210205,17800,23202,409,17600,17850,17400
20210204,17600,33873,600,17950,18100,17450
20210203,17900,41589,736,17700,17950,17450
20210202,17400,93711,1651,16850,18000,16850
20210201,16800,45587,755,16200,16800,16000
20210129,16300,41969,699,17000,17150,16050
20210128,16950,42179,715,17250,17250,16550
20210127,17450,42662,743,17750,17850,17200
20210126,17550,26507,464,17650,17700,17300
20210125,17700,65100,1157,17700,18050,17550
20210122,17400,43552,756,17150,17650,16950
20210121,17150,23150,394,17100,17150,16950
20210120,16950,36266,606,16750,17000,16400
20210119,16750,30562,508,16650,16850,16350
20210118,16650,40182,673,17100,17100,16450
20210115,17100,29764,513,17600,17600,17050
20210114,17400,78904,1356,16800,17550,16700
20210113,16800,17740,295,16700,16800,16500
20210112,16700,16924,280,16300,16800,16300
20210111,16450,58783,981,17150,17150,16350
20210108,17000,50297,847,16850,17150,16550
20210107,16850,51954,873,16650,16950,16600
20210106,16600,50898,844,16600,16800,16450
20210105,16600,27565,454,16500,16600,16350
20210104,16400,35149,575,16450,16600,16250
20201230,16400,22366,366,16300,16550,16200
20201229,16300,23845,388,16250,16600,16150
20201228,16300,33439,545,16150,16500,16150
20201224,16150,23671,381,16000,16350,15800
20201223,16100,24521,396,16200,16350,16000
20201222,16200,23452,385,16700,16700,16100
20201221,16600,48097,804,16500,17050,16450
20201218,16500,28002,459,16400,16600,16200
20201217,16250,16087,263,16600,16600,16250
20201216,16500,16925,279,16600,16650,16350
20201215,16550,13925,229,16600,16650,16400
20201214,16600,21084,348,16500,16650,16350
20201211,16400,47378,778,16450,16700,16350
20201210,16400,17884,291,16400,16500,16100
20201209,16400,9863,162,16300,16600,16300
20201208,16300,16352,268,16500,16600,16250
20201207,16350,16250,266,16500,16750,16300
20201204,16500,31715,529,16950,16950,16500
20201203,16700,37992,640,16900,17000,16600
20201202,16600,27302,455,16850,16950,16500
20201201,16850,17989,303,17000,17000,16700
20201130,16900,21013,354,17000,17000,16700
20201127,17000,39539,669,16700,17100,16600
20201126,16600,7356,122,16550,16700,16450
20201125,16550,27205,453,16900,16900,16500
20201124,16850,24128,403,16800,16850,16650
20201123,16800,46213,777,16650,17000,16550
20201120,16600,14019,232,16600,16750,16350
20201119,16600,14447,239,16600,16800,16500
20201118,16600,40212,670,16500,16950,16500
20201117,16500,26607,446,17150,17150,16500
20201116,16750,25759,426,16500,16900,16300
20201113,16550,17381,287,16650,16700,16350
20201112,16550,12844,213,16700,16750,16450
20201111,16500,16983,280,16550,16650,16300
20201110,16450,49834,824,16700,16900,16150
20201109,16700,19204,320,16650,16850,16500
20201106,16650,26216,436,16500,16850,16350
20201105,16650,34122,565,16500,16800,16100
20201104,16300,12847,208,16200,16450,16000
20201103,16150,42483,693,15500,16700,15450
20201102,15500,11936,183,15400,15550,15100
20201030,15400,16708,260,15900,15900,15400
20201029,15850,28722,452,15600,15850,15500
20201028,15850,6536,104,15850,16200,15700
20201027,15850,11397,181,15800,16050,15650
20201026,16050,15913,258,16650,16650,16000
20201023,16650,11391,188,16400,16700,16250
20201022,16350,18605,305,16600,16800,16150
20201021,16550,14955,249,16750,16800,16500
20201020,16600,16428,272,16600,16850,16350
20201019,16600,14810,247,16800,17000,16550
20201016,16600,28224,472,17050,17100,16500
20201015,17100,35663,601,16900,17300,16400
20201014,16900,35162,597,16850,17200,16750
20201013,16850,18772,317,16850,17150,16750
20201012,16800,14518,245,17150,17150,16700
20201008,17000,30462,511,16850,17100,16600
20201007,16850,31133,524,16800,17000,16700
20201006,16850,59880,1002,16400,16950,16200
20201005,16100,29820,481,16250,16250,16000
20200929,16250,18581,304,16550,16600,16200
20200928,16300,31307,504,15700,16450,15700
20200925,15650,30042,475,15800,16350,15600
20200924,15800,54587,860,15950,16050,15500
20200923,16400,30207,486,16200,16500,15750
20200922,16200,78980,1288,17050,17150,16000
20200921,17050,31447,540,17550,17700,16900
20200918,17650,44945,793,18000,18100,17500
20200917,18000,42612,775,18400,18550,17900
20200916,18350,41475,764,18100,18700,18050
20200915,18050,32267,589,18000,18550,17950
20200914,18000,34668,624,18150,18350,17750
20200911,18150,27162,488,17900,18200,17700
20200910,17900,46340,823,18200,18500,17450
20200909,18000,43123,766,17700,18150,17400
20200908,18050,32685,591,18150,18400,17850
20200907,18200,57835,1049,18050,18450,17950
20200904,17950,88116,1572,17500,18200,17150
20200903,18350,132533,2479,19350,19400,18200
20200902,19400,629880,12399,18000,21200,18000
20200901,18000,30841,553,18150,18450,17650
20200831,18050,68585,1230,17750,18150,17500
20200828,17500,100447,1759,17300,18100,17100
20200827,17200,108695,1827,16300,17300,16150
20200826,16150,25679,413,16400,16400,15850
20200825,16300,28659,464,16300,16400,16050
20200824,16300,33497,548,16600,16600,16050
20200821,16500,64001,1036,15900,16600,15700
20200820,15750,109889,1774,17000,17000,15750
20200819,17000,95385,1599,16250,17050,16200
