Date,Close,Volume,Volume2,Open,High,Low
20210325,304700,27556,8391,306600,307400,301500
20210324,309000,32215,9815,302500,310500,298400
20210323,304000,28094,8580,306800,310000,302000
20210322,306000,37596,11441,307500,307600,301300
20210319,305300,53806,16443,312000,312100,304700
20210318,313300,32339,10199,319100,320400,312600
20210317,317000,42995,13584,323100,323100,312300
20210316,323100,40127,12861,320300,326000,318500
20210315,319800,28567,9156,325600,327000,319300
20210312,325500,26322,8572,330500,332500,322000
20210311,327000,26581,8637,323100,328500,320200
20210310,322000,36080,11905,335000,336000,319900
20210309,328600,49835,16149,323000,331600,315700
20210308,322000,66383,21805,321800,334900,319500
20210305,319100,26822,8482,319900,319900,311000
20210304,322700,26927,8662,316400,325000,314400
20210303,322900,36828,11971,316600,329700,314900
20210302,318400,62230,20071,320700,330700,312100
20210226,306000,60656,18626,309500,314800,302600
20210225,318200,58181,18411,308200,323900,308200
20210224,303500,73841,23189,311400,322500,302500
20210223,310900,42255,13254,319500,320700,310000
20210222,321000,34676,11260,329700,330300,320100
20210219,331100,44047,14604,332400,337900,327500
20210218,332400,47237,15889,342200,342200,332400
20210217,342500,71785,24198,333200,344900,328900
20210216,330000,40581,13439,337600,337700,327900
20210215,333700,49626,16313,324800,334800,320000
20210210,324800,30680,9820,318100,326500,313600
20210209,319300,44992,14535,320700,328400,318500
20210208,320500,27424,8708,317400,322600,312400
20210205,319900,20856,6667,322700,323700,317000
20210204,320900,32004,10220,322500,324000,316600
20210203,324500,39654,12786,320000,326400,318500
20210202,319000,45860,14693,320700,326600,314400
20210201,320600,51300,16200,303500,322500,300500
20210129,306800,70560,21771,315000,315000,302800
20210128,311800,72340,22650,312000,319500,310000
20210127,324000,92565,30089,338000,338100,319900
20210126,332800,75473,25441,347500,347600,331300
20210125,346600,39088,13392,341100,347600,330300
20210122,340000,40822,13948,348500,348500,339400
20210121,349500,76918,26751,356200,356300,344000
20210120,356200,152464,53077,330500,363500,330400
20210119,328300,48698,15759,317200,329900,317000
20210118,317200,43067,13731,325000,326000,315000
20210115,325100,66437,21860,330600,339000,323100
20210114,323600,39498,12778,324900,331600,320500
20210113,325300,54686,17646,319200,328600,317500
20210112,319700,85830,27822,333300,334600,315500
20210111,338600,84297,28568,337400,347300,330000
20210108,332900,74793,25008,340500,341000,331000
20210107,340000,65758,22483,338800,346200,337900
20210106,338300,61920,21139,348500,348900,337500
20210105,347000,58638,20340,352900,354500,342900
20210104,355600,66764,23615,357800,359000,350000
20201230,357800,56107,20069,354000,365700,349000
20201229,355000,60813,21265,375000,375000,343000
20201228,357600,71173,24619,337700,357600,333300
20201224,333500,76206,25568,333800,345500,321000
20201223,333500,159561,53223,307400,371500,307400
20201222,307300,54410,16826,308500,319900,302600
20201221,309500,46115,14306,316700,316700,307100
20201218,319800,58885,18890,332900,333500,318300
20201217,328000,74297,23690,311000,329300,310000
20201216,304600,61165,18259,292400,307600,287400
20201215,292500,64220,18378,286200,294500,280000
20201214,286500,111600,31254,266000,288400,264000
20201211,264600,35419,9357,263300,267600,261800
20201210,263000,50638,13343,263000,268500,259600
20201209,264300,49658,12973,264600,266700,258500
20201208,264700,53186,14291,271300,274900,264500
20201207,272400,31489,8541,273100,275000,269000
20201204,272400,24304,6617,270200,273000,269100
20201203,272000,27969,7584,272900,273000,268300
20201202,272700,56212,15230,264200,274000,261300
20201201,262700,26722,6945,258500,263400,256300
20201130,259700,46540,12079,259800,261500,257500
20201127,261100,34454,9019,260000,263400,256300
20201126,260000,33893,8794,260000,262000,256100
20201125,259500,78263,20313,259900,263900,253500
20201124,255200,46792,11936,253500,257900,249000
20201123,253000,45650,11546,250900,256100,247200
20201120,247900,31848,7917,247300,249700,246300
20201119,246500,29469,7180,245000,246900,241100
20201118,245000,28548,7025,248500,248900,244400
20201117,248500,47901,11886,254000,254000,244300
20201116,253900,126504,31595,237500,257000,235600
20201113,234200,21341,4972,231000,234800,229400
20201112,231000,18968,4411,231700,235900,230500
20201111,233400,26204,6182,240900,241000,232200
20201110,239600,36003,8537,236800,240500,232400
20201109,237900,40257,9522,233400,239500,231700
20201106,231700,41871,9763,237700,239000,230400
20201105,237700,50824,12042,231600,239500,231600
20201104,229300,38844,8825,227100,232000,223300
20201103,227000,34542,7874,226300,232700,224700
20201102,227900,28389,6399,222400,229300,220100
20201030,222100,29671,6757,233900,233900,221200
20201029,233900,48023,10979,223500,234500,219100
20201028,223500,24476,5357,215400,223500,213500
20201027,215300,38090,8207,213000,221200,211000
20201026,213100,45288,9774,222000,222400,212100
20201023,223800,40157,9032,228000,228900,222100
20201022,228900,40608,9300,235700,235700,226000
20201021,236000,43150,9915,230100,236400,223000
20201020,230400,162821,37295,228400,235500,222100
20201019,218400,34032,7475,214700,225900,214700
20201016,218400,27357,5989,220500,222800,217200
20201015,220800,30087,6677,228400,228500,218400
20201014,228300,25339,5820,234800,235300,228200
20201013,234600,19049,4442,235200,236800,231600
20201012,235100,19552,4589,237800,237800,232600
